objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,yarn_white.jpg,,,yarn white,,,,,,,,,,,image/jpg,,,
coll002,yarn_assorted_colors.jpg,,,yarn colors,,,,,,,,,,,image/jpg,,,
coll003,pompoms_assorted_sizes_colors.jpg,,,pom poms assorted,,,,,,,,,,,image/jpg,,,
coll004,pompoms_small_black.jpg,,,pom poms black,,,,,,,,,,,image/jpg,,,
coll005,pompoms_small_assorted_colors.jpg,,,pom poms small assorted,,,,,,,,,,,image/jpg,,,
coll006,cotton_balls.jpg,,,cotton balls,,,,,,,,,,,image/jpg,,,
coll007,coffee_filters.jpg,,,coffee filters,,,,,,,,,,,image/jpg,,,
coll008,paper_cones.jpg,,,paper cones,,,,,,,,,,,image/jpg,,,
coll009,canvas_panel_5x7.jpg,,,canvas panel rectangle,,,,,,,,,,,image/jpg,,,
coll010,canvas_panel_4insq.jpg,,,canvas panel square,,,,,,,,,,,image/jpg,,,
coll011,glass_pebbles_1in.jpg,,,glass pebbles 1in,,,,,,,,,,,image/jpg,,,
coll012,glass_pebbles_2in.jpg,,,glass pebbles 2in,,,,,,,,,,,image/jpg,,,
coll013,beads_natural_wooden.jpg,,,beads wooden,,,,,,,,,,,image/jpg,,,
coll014,beads_opaque_green_pony.jpg,,,beads green,,,,,,,,,,,image/jpg,,,
coll015,beads_opaque_white_pony.jpg,,,beads white,,,,,,,,,,,image/jpg,,,
coll016,beads_opaque_black_pony.jpg,,,beads black,,,,,,,,,,,image/jpg,,,
coll017,beads_opaque_yellow_pony.jpg,,,beads yellow,,,,,,,,,,,image/jpg,,,
coll018,beads_opaque_red_pony.jpg,,,beads red,,,,,,,,,,,image/jpg,,,
coll019,beads_opaque_orange_pony.jpg,,,beads orange,,,,,,,,,,,image/jpg,,,
coll020,beads_fancy_assorted_pony.jpg,,,beads fancy assorted,,,,,,,,,,,image/jpg,,,
